Year,data.Geography,GeoCode,Value
2015,,,0.23
2016,,,0.23
2017,,,0.23
2018,,,0.24
2019,,,0.24
2020,,,0.21
2021,,,0.22
2022,,,0.22
2023,,,0.21
2024,,,0.21
2015,data.Newfoundland and Labrador,10,0.24
2015,data.Prince Edward Island,11,0.16
2015,data.Nova Scotia,12,0.16
2015,data.New Brunswick,13,0.19
2015,data.Quebec,24,0.19
2015,data.Ontario,35,0.18
2015,data.Manitoba,46,0.21
2015,data.Saskatchewan,47,0.44
2015,data.Alberta,48,0.48
2015,data.British Columbia,59,0.18
2015,data.Yukon,60,0.21
2015,data.Northwest Territories,61,0.42
2015,data.Nunavut,62,0.23
2016,data.Newfoundland and Labrador,10,0.24
2016,data.Prince Edward Island,11,0.16
2016,data.Nova Scotia,12,0.15
2016,data.New Brunswick,13,0.19
2016,data.Quebec,24,0.19
2016,data.Ontario,35,0.18
2016,data.Manitoba,46,0.22
2016,data.Saskatchewan,47,0.43
2016,data.Alberta,48,0.46
2016,data.British Columbia,59,0.18
2016,data.Yukon,60,0.21
2016,data.Northwest Territories,61,0.33
2016,data.Nunavut,62,0.21
2017,data.Newfoundland and Labrador,10,0.24
2017,data.Prince Edward Island,11,0.16
2017,data.Nova Scotia,12,0.16
2017,data.New Brunswick,13,0.18
2017,data.Quebec,24,
2017,data.Ontario,35,0.18
2017,data.Manitoba,46,0.22
2017,data.Saskatchewan,47,0.46
2017,data.Alberta,48,0.49
2017,data.British Columbia,59,
2017,data.Yukon,60,0.22
2017,data.Northwest Territories,61,0.38
2017,data.Nunavut,62,0.19
2018,data.Newfoundland and Labrador,10,0.24
2018,data.Prince Edward Island,11,0.15
2018,data.Nova Scotia,12,0.16
2018,data.New Brunswick,13,0.19
2018,data.Quebec,24,0.2
2018,data.Ontario,35,0.18
2018,data.Manitoba,46,0.22
2018,data.Saskatchewan,47,0.49
2018,data.Alberta,48,0.52
2018,data.British Columbia,59,0.19
2018,data.Yukon,60,0.24
2018,data.Northwest Territories,61,0.37
2018,data.Nunavut,62,0.2
2019,data.Newfoundland and Labrador,10,0.24
2019,data.Prince Edward Island,11,0.16
2019,data.Nova Scotia,12,0.16
2019,data.New Brunswick,13,0.19
2019,data.Quebec,24,0.2
2019,data.Ontario,35,0.18
2019,data.Manitoba,46,0.22
2019,data.Saskatchewan,47,0.48
2019,data.Alberta,48,0.52
2019,data.British Columbia,59,0.19
2019,data.Yukon,60,0.24
2019,data.Northwest Territories,61,0.36
2019,data.Nunavut,62,0.2
2020,data.Newfoundland and Labrador,10,0.2
2020,data.Prince Edward Island,11,0.15
2020,data.Nova Scotia,12,0.14
2020,data.New Brunswick,13,0.17
2020,data.Quebec,24,0.18
2020,data.Ontario,35,0.16
2020,data.Manitoba,46,0.2
2020,data.Saskatchewan,47,0.45
2020,data.Alberta,48,0.47
2020,data.British Columbia,59,0.17
2020,data.Yukon,60,0.2
2020,data.Northwest Territories,61,0.31
2020,data.Nunavut,62,0.16
2021,data.Newfoundland and Labrador,10,0.2
2021,data.Prince Edward Island,11,0.15
2021,data.Nova Scotia,12,0.14
2021,data.New Brunswick,13,0.16
2021,data.Quebec,24,0.18
2021,data.Ontario,35,0.16
2021,data.Manitoba,46,0.2
2021,data.Saskatchewan,47,0.48
2021,data.Alberta,48,0.49
2021,data.British Columbia,59,0.17
2021,data.Yukon,60,0.22
2021,data.Northwest Territories,61,0.32
2021,data.Nunavut,62,0.17
2022,data.Newfoundland and Labrador,10,0.21
2022,data.Prince Edward Island,11,0.14
2022,data.Nova Scotia,12,0.14
2022,data.New Brunswick,13,0.17
2022,data.Quebec,24,0.19
2022,data.Ontario,35,0.16
2022,data.Manitoba,46,0.21
2022,data.Saskatchewan,47,0.49
2022,data.Alberta,48,0.49
2022,data.British Columbia,59,0.17
2022,data.Yukon,60,0.22
2022,data.Northwest Territories,61,0.34
2022,data.Nunavut,62,0.18
2023,data.Newfoundland and Labrador,10,0.2
2023,data.Prince Edward Island,11,0.14
2023,data.Nova Scotia,12,0.13
2023,data.New Brunswick,13,0.15
2023,data.Quebec,24,0.19
2023,data.Ontario,35,0.16
2023,data.Manitoba,46,0.19
2023,data.Saskatchewan,47,0.47
2023,data.Alberta,48,0.46
2023,data.British Columbia,59,0.17
2023,data.Yukon,60,0.22
2023,data.Northwest Territories,61,0.32
2023,data.Nunavut,62,0.2
2024,data.Newfoundland and Labrador,10,0.2
2024,data.Prince Edward Island,11,0.13
2024,data.Nova Scotia,12,0.13
2024,data.New Brunswick,13,0.15
2024,data.Quebec,24,0.18
2024,data.Ontario,35,0.15
2024,data.Manitoba,46,0.19
2024,data.Saskatchewan,47,0.46
2024,data.Alberta,48,0.45
2024,data.British Columbia,59,0.16
2024,data.Yukon,60,0.22
2024,data.Northwest Territories,61,0.31
2024,data.Nunavut,62,0.21
