Year,Geography,GeoCode,Value
2015,,,0.37
2016,,,0.63
2017,,,0.97
2018,,,2.24
2019,,,2.91
2020,,,3.52
2021,,,5.24
2022,,,8.17
2023,,,11.01
2024,,,13.47
2015,British Columbia and the Territories,,0.65
2015,Manitoba,46,0.06
2015,New Brunswick,13,0.02
2015,Ontario,35,0.29
2015,Prince Edward Island,11,0.0
2015,Quebec,24,0.7
2015,Saskatchewan,47,0.03
2016,British Columbia and the Territories,,0.94
2016,Manitoba,46,0.11
2016,New Brunswick,13,0.08
2016,Ontario,35,0.53
2016,Prince Edward Island,11,0.08
2016,Quebec,24,1.15
2016,Saskatchewan,47,0.06
2017,British Columbia and the Territories,,1.27
2017,Manitoba,46,0.09
2017,New Brunswick,13,0.06
2017,Ontario,35,1.02
2017,Prince Edward Island,11,0.02
2017,Quebec,24,1.64
2017,Saskatchewan,47,0.06
2018,British Columbia and the Territories,,3.62
2018,Manitoba,46,0.29
2018,New Brunswick,13,0.14
2018,Ontario,35,2.1
2018,Prince Edward Island,11,0.2
2018,Quebec,24,3.84
2018,Saskatchewan,47,0.17
2019,British Columbia and the Territories,,7.79
2019,Manitoba,46,0.56
2019,New Brunswick,13,0.41
2019,Ontario,35,1.23
2019,Prince Edward Island,11,0.62
2019,Quebec,24,5.91
2019,Saskatchewan,47,0.38
2020,British Columbia and the Territories,,8.4
2020,Manitoba,46,0.7
2020,New Brunswick,13,0.53
2020,Ontario,35,1.75
2020,Prince Edward Island,11,0.82
2020,Quebec,24,6.81
2020,Saskatchewan,47,0.45
2021,British Columbia and the Territories,,11.67
2021,Manitoba,46,1.35
2021,New Brunswick,13,1.29
2021,Ontario,35,3.14
2021,Prince Edward Island,11,2.11
2021,Quebec,24,8.94
2021,Saskatchewan,47,1.07
2022,British Columbia and the Territories,,16.2
2022,Manitoba,46,2.54
2022,New Brunswick,13,2.63
2022,Ontario,35,6.5
2022,Prince Edward Island,11,4.02
2022,Quebec,24,12.3
2022,Saskatchewan,47,1.64
2023,British Columbia and the Territories,,20.71
2023,Manitoba,46,3.54
2023,New Brunswick,13,4.9
2023,Ontario,35,7.4
2023,Prince Edward Island,11,7.68
2023,Quebec,24,19.21
2023,Saskatchewan,47,2.27
2024,British Columbia and the Territories,,20.91
2024,Manitoba,46,4.9
2024,New Brunswick,13,6.65
2024,Nova Scotia,12,5.22
2024,Ontario,35,7.72
2024,Prince Edward Island,11,8.56
2024,Quebec,24,27.69
2024,Saskatchewan,47,2.58
